bug_class,key_function,subtype,version,harness_type,exit_code,status,stderr_preview
BC001,sqlite3ExprCodeTarget,null-pointer,3.26.0,test,-6,SIGABRT,"sqlite_harness_sqlite-3.26.0_test: ./../../cve_builds/sqlite-3.26.0/sqlite3.c:125875: int sqlite3ColumnsFromExprList(Parse *, ExprList *, i16 *, Column **): Assertion `pTab!=0' failed."
BC001,sqlite3ExprCodeTarget,null-pointer,3.26.0,nosanit,-11,SEGV,
BC001,sqlite3ExprCodeTarget,null-pointer,3.27.0,test,-6,SIGABRT,"sqlite_harness_sqlite-3.27.0_test: ./../../cve_builds/sqlite-3.27.0/sqlite3.c:126309: int sqlite3ColumnsFromExprList(Parse *, ExprList *, i16 *, Column **): Assertion `pTab!=0' failed."
BC001,sqlite3ExprCodeTarget,null-pointer,3.27.0,nosanit,-11,SEGV,
BC001,sqlite3ExprCodeTarget,null-pointer,3.27.1,test,-6,SIGABRT,"sqlite_harness_sqlite-3.27.1_test: ./../../cve_builds/sqlite-3.27.1/sqlite3.c:126309: int sqlite3ColumnsFromExprList(Parse *, ExprList *, i16 *, Column **): Assertion `pTab!=0' failed."
BC001,sqlite3ExprCodeTarget,null-pointer,3.27.1,nosanit,-11,SEGV,
BC001,sqlite3ExprCodeTarget,null-pointer,3.27.2,test,-6,SIGABRT,"sqlite_harness_sqlite-3.27.2_test: ./../../cve_builds/sqlite-3.27.2/sqlite3.c:126295: int sqlite3ColumnsFromExprList(Parse *, ExprList *, i16 *, Column **): Assertion `pTab!=0' failed."
BC001,sqlite3ExprCodeTarget,null-pointer,3.27.2,nosanit,-11,SEGV,
BC001,sqlite3ExprCodeTarget,null-pointer,3.28.0,test,-6,SIGABRT,"sqlite_harness_sqlite-3.28.0_test: ./../../cve_builds/sqlite-3.28.0/sqlite3.c:126595: int sqlite3ColumnsFromExprList(Parse *, ExprList *, i16 *, Column **): Assertion `pTab!=0' failed."
BC001,sqlite3ExprCodeTarget,null-pointer,3.28.0,nosanit,-11,SEGV,
BC001,sqlite3ExprCodeTarget,null-pointer,3.29.0,test,-6,SIGABRT,"sqlite_harness_sqlite-3.29.0_test: ./../../cve_builds/sqlite-3.29.0/sqlite3.c:131002: int sqlite3Select(Parse *, Select *, SelectDest *): Assertion `pItem->addrFillSub==0' failed."
BC001,sqlite3ExprCodeTarget,null-pointer,3.29.0,nosanit,-11,SEGV,
BC001,sqlite3ExprCodeTarget,null-pointer,3.30.0,test,1,UBSan,../../cve_builds/sqlite-3.30.0/sqlite3.c:101285:16: runtime error: applying zero offset to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../../cve_builds/sqlite-3.30.0/sqlite3
BC001,sqlite3ExprCodeTarget,null-pointer,3.30.0,nosanit,-11,SEGV,
BC001,sqlite3ExprCodeTarget,null-pointer,3.30.1,test,1,UBSan,../cve_builds/sqlite-3.30.1/sqlite3.c:101292:16: runtime error: applying zero offset to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../cve_builds/sqlite-3.30.1/sqlite3.c:101
BC001,sqlite3ExprCodeTarget,null-pointer,3.30.1,nosanit,-11,SEGV,
BC001,sqlite3ExprCodeTarget,null-pointer,3.31.1,test,1,UBSan,../cve_builds/sqlite-3.31.1/sqlite3.c:102748:16: runtime error: applying zero offset to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../cve_builds/sqlite-3.31.1/sqlite3.c:102
BC001,sqlite3ExprCodeTarget,null-pointer,3.31.1,nosanit,-11,SEGV,
BC001,sqlite3ExprCodeTarget,null-pointer,3.32.0,test,1,UBSan,../cve_builds/sqlite-3.32.0/sqlite3.c:103541:16: runtime error: applying zero offset to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../cve_builds/sqlite-3.32.0/sqlite3.c:103
BC001,sqlite3ExprCodeTarget,null-pointer,3.32.0,nosanit,-11,SEGV,
BC001,sqlite3ExprCodeTarget,null-pointer,3.32.1,test,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.32.1,nosanit,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.32.2,test,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.32.2,nosanit,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.32.3,test,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.32.3,nosanit,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.33.0,test,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.33.0,nosanit,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.34.0,test,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.34.0,nosanit,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.36.0,test,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.36.0,nosanit,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.39.1,test,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.39.1,nosanit,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.40.0,test,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.40.0,nosanit,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.53.0,test,0,OK,
BC001,sqlite3ExprCodeTarget,null-pointer,3.53.0,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.26.0,test,1,UBSan,../../cve_builds/sqlite-3.26.0/sqlite3.c:215741:44: runtime error: applying non-zero offset 8 to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../../cve_builds/sqlite-3.26.0/s
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.26.0,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.27.0,test,1,UBSan,../../cve_builds/sqlite-3.27.0/sqlite3.c:217016:44: runtime error: applying non-zero offset 8 to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../../cve_builds/sqlite-3.27.0/s
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.27.0,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.27.1,test,1,UBSan,../../cve_builds/sqlite-3.27.1/sqlite3.c:217021:44: runtime error: applying non-zero offset 8 to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../../cve_builds/sqlite-3.27.1/s
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.27.1,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.27.2,test,1,UBSan,../../cve_builds/sqlite-3.27.2/sqlite3.c:217009:44: runtime error: applying non-zero offset 8 to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../../cve_builds/sqlite-3.27.2/s
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.27.2,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.28.0,test,1,UBSan,../../cve_builds/sqlite-3.28.0/sqlite3.c:218048:44: runtime error: applying non-zero offset 8 to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../../cve_builds/sqlite-3.28.0/s
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.28.0,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.29.0,test,1,UBSan,../../cve_builds/sqlite-3.29.0/sqlite3.c:218957:44: runtime error: applying non-zero offset 8 to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../../cve_builds/sqlite-3.29.0/s
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.29.0,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.30.0,test,1,UBSan,../../cve_builds/sqlite-3.30.0/sqlite3.c:220212:44: runtime error: applying non-zero offset 8 to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../../cve_builds/sqlite-3.30.0/s
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.30.0,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.30.1,test,1,UBSan,../cve_builds/sqlite-3.30.1/sqlite3.c:220230:44: runtime error: applying non-zero offset 8 to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../cve_builds/sqlite-3.30.1/sqlite3
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.30.1,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.31.1,test,1,UBSan,../cve_builds/sqlite-3.31.1/sqlite3.c:223612:44: runtime error: applying non-zero offset 8 to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../cve_builds/sqlite-3.31.1/sqlite3
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.31.1,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.32.0,test,1,UBSan,../cve_builds/sqlite-3.32.0/sqlite3.c:224711:44: runtime error: applying non-zero offset 8 to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../cve_builds/sqlite-3.32.0/sqlite3
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.32.0,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.32.1,test,1,UBSan,../../cve_builds/sqlite-3.32.1/sqlite3.c:224767:44: runtime error: applying non-zero offset 8 to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../../cve_builds/sqlite-3.32.1/s
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.32.1,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.32.2,test,1,UBSan,../cve_builds/sqlite-3.32.2/sqlite3.c:224769:44: runtime error: applying non-zero offset 8 to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../cve_builds/sqlite-3.32.2/sqlite3
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.32.2,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.32.3,test,1,UBSan,../../cve_builds/sqlite-3.32.3/sqlite3.c:224940:44: runtime error: applying non-zero offset 8 to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../../cve_builds/sqlite-3.32.3/s
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.32.3,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.33.0,test,1,UBSan,../../cve_builds/sqlite-3.33.0/sqlite3.c:225670:44: runtime error: applying non-zero offset 8 to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../../cve_builds/sqlite-3.33.0/s
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.33.0,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.34.0,test,1,UBSan,../../cve_builds/sqlite-3.34.0/sqlite3.c:226759:27: runtime error: applying non-zero offset 8 to null pointer | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior ../../cve_builds/sqlite-3.34.0/s
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.34.0,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.36.0,test,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.36.0,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.39.1,test,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.39.1,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.40.0,test,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.40.0,nosanit,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.53.0,test,0,OK,
BC002,sqlite3Fts5GetTokenizer,null-pointer,3.53.0,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.26.0,test,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.26.0,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.27.0,test,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.27.0,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.27.1,test,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.27.1,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.27.2,test,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.27.2,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.28.0,test,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.28.0,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.29.0,test,1,UBSan,../../cve_builds/sqlite-3.29.0/sqlite3.c:27837:24: runtime error: signed integer overflow: 2147483647 + 341 cannot be represented in type 'int' | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavio
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.29.0,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.30.0,test,1,UBSan,../../cve_builds/sqlite-3.30.0/sqlite3.c:27931:24: runtime error: signed integer overflow: 2147483647 + 341 cannot be represented in type 'int' | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavio
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.30.0,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.30.1,test,1,UBSan,../cve_builds/sqlite-3.30.1/sqlite3.c:27935:24: runtime error: signed integer overflow: 2147483647 + 341 cannot be represented in type 'int' | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior .
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.30.1,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.31.1,test,1,UBSan,../cve_builds/sqlite-3.31.1/sqlite3.c:28488:24: runtime error: signed integer overflow: 2147483647 + 341 cannot be represented in type 'int' | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior .
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.31.1,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.32.0,test,1,UBSan,../cve_builds/sqlite-3.32.0/sqlite3.c:28617:24: runtime error: signed integer overflow: 2147483647 + 341 cannot be represented in type 'int' | SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior .
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.32.0,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.32.1,test,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.32.1,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.32.2,test,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.32.2,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.32.3,test,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.32.3,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.33.0,test,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.33.0,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.34.0,test,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.34.0,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.36.0,test,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.36.0,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.39.1,test,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.39.1,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.40.0,test,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.40.0,nosanit,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.53.0,test,0,OK,
BC003,sqlite3_str_vappendf,signed-integer-overflow,3.53.0,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.26.0,test,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.26.0,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.27.0,test,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.27.0,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.27.1,test,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.27.1,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.27.2,test,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.27.2,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.28.0,test,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.28.0,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.29.0,test,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.29.0,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.30.0,test,1,UBSan,"../../cve_builds/sqlite-3.30.0/sqlite3.c:147718:5: runtime error: store to misaligned address 0xaaaaaaaaaaaaaaaa for type 'Window *' (aka 'struct Window *'), which requires 8 byte alignment | 0xaaaaaa"
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.30.0,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.30.1,test,1,UBSan,"../cve_builds/sqlite-3.30.1/sqlite3.c:147736:5: runtime error: store to misaligned address 0xaaaaaaaaaaaaaaaa for type 'Window *' (aka 'struct Window *'), which requires 8 byte alignment | 0xaaaaaaaaa"
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.30.1,nosanit,-11,SEGV,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.31.1,test,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.31.1,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.32.0,test,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.32.0,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.32.1,test,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.32.1,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.32.2,test,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.32.2,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.32.3,test,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.32.3,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.33.0,test,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.33.0,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.34.0,test,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.34.0,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.36.0,test,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.36.0,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.39.1,test,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.39.1,nosanit,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.40.0,test,0,OK,
BC004,sqlite3WindowUnlinkFromSelect,misaligned-access,3.40.0,nosanit,0,OK,
